ContratID,CandidatID,PosteID,ClientID,TypeContratID,StatutContratID,DateDebut,DateFin,TauxJournalier,DureeJours,MontantTotal
1,42,11,48,4,1,2024-05-30,2025-02-20,66674,266,17735284
2,252,72,44,4,1,2024-10-15,2025-05-13,133216,210,27975360
3,795,105,62,4,3,2024-05-19,2024-09-28,42389,132,5595348
4,627,44,23,4,2,2024-06-08,2024-09-29,33310,113,3764030
5,390,71,25,4,1,2024-06-02,2025-02-28,117653,271,31883963
6,463,26,53,1,3,2024-05-06,2024-12-08,117309,216,25338744
7,620,93,32,2,2,2024-08-17,2025-04-30,40872,256,10463232
8,483,177,68,2,1,2024-08-20,2025-02-18,135652,182,24688664
9,458,186,91,4,1,2024-11-24,2025-04-14,130876,141,18453516
10,552,3,36,2,2,2024-06-11,2024-09-15,125491,96,12047136
11,282,128,58,2,3,2024-10-04,2025-02-19,76997,138,10625586
12,571,182,29,4,1,2024-04-20,2024-08-09,141820,111,15742020
13,693,154,80,3,1,2024-12-17,2025-07-15,45719,210,9600990
14,710,13,22,3,3,2024-11-29,2025-04-14,123925,136,16853800
15,621,78,53,4,1,2024-08-03,2025-06-23,130943,324,42425532
16,453,151,37,4,3,2024-09-20,2025-05-12,92162,234,21565908
17,656,196,77,3,1,2024-07-30,2024-12-20,71488,143,10222784
18,723,59,25,4,2,2024-03-12,2024-05-11,87232,60,5233920
19,311,57,21,1,3,2024-12-09,2025-02-22,35732,75,2679900
20,486,50,77,3,3,2024-09-27,2024-11-28,33820,62,2096840
21,678,179,56,1,2,2024-06-02,2024-10-29,70527,149,10508523
22,663,36,64,4,1,2024-04-02,2024-09-01,32231,152,4899112
23,497,74,80,1,1,2024-09-01,2024-10-19,106257,48,5100336
24,264,27,29,3,3,2024-06-06,2025-03-24,106736,291,31060176
25,911,188,25,4,2,2024-10-29,2025-06-11,132543,225,29822175
26,542,14,100,3,3,2024-03-20,2025-04-15,63048,391,24651768
27,541,102,12,1,3,2024-07-09,2025-07-02,127788,358,45748104
28,468,32,65,2,3,2024-02-11,2024-03-16,66851,34,2272934
29,761,82,39,4,2,2024-09-17,2025-07-02,95112,288,27392256
30,303,118,15,4,3,2024-05-25,2025-06-18,126847,389,49343483
31,938,140,96,4,2,2024-03-11,2025-01-31,72638,326,23679988
32,63,114,83,4,1,2024-07-21,2025-04-30,43352,283,12268616
33,13,86,23,2,1,2024-07-27,2024-10-16,127826,81,10353906
34,511,57,76,4,1,2024-04-20,2025-04-18,64060,363,23253780
35,860,161,77,1,2,2024-12-08,2025-11-07,56026,334,18712684
36,10,136,51,2,1,2024-01-28,2024-09-12,112204,228,25582512
37,679,135,96,2,3,2024-05-01,2025-05-06,94113,370,34821810
38,390,154,24,2,3,2024-04-01,2024-10-19,33667,201,6767067
39,22,45,8,4,3,2024-12-03,2025-07-18,139737,227,31720299
40,371,197,82,4,2,2024-03-30,2025-02-13,92374,320,29559680
41,647,184,36,4,1,2024-03-21,2025-01-11,62437,296,18481352
42,634,88,13,4,2,2024-08-03,2025-03-24,40255,233,9379415
43,849,41,97,1,1,2024-04-05,2025-02-18,112234,319,35802646
44,988,75,42,4,1,2024-04-12,2025-04-09,121398,362,43946076
45,55,78,87,4,1,2024-03-30,2024-12-25,119845,270,32358150
46,859,195,82,3,2,2024-07-13,2025-07-08,106149,360,38213640
47,10,58,31,1,3,2024-09-30,2025-03-31,135093,182,24586926
48,976,189,81,3,2,2024-06-20,2025-02-01,103026,226,23283876
49,774,47,47,3,3,2024-11-20,2025-08-16,59015,269,15875035
50,951,186,63,1,2,2024-04-07,2024-12-05,56554,242,13686068
51,68,187,29,1,3,2024-11-04,2025-02-08,76151,96,7310496
52,75,122,1,4,2,2024-09-27,2025-04-13,116963,198,23158674
53,986,22,20,1,1,2024-01-27,2024-04-15,32668,79,2580772
54,282,124,34,2,1,2024-08-31,2025-06-12,66201,285,18867285
55,382,183,55,3,1,2024-12-28,2025-11-18,81918,325,26623350
56,297,186,86,4,1,2024-09-05,2025-06-14,98497,282,27776154
57,157,92,18,2,1,2024-04-04,2025-03-20,47656,350,16679600
58,72,96,73,1,3,2024-06-07,2025-03-04,41043,270,11081610
59,136,77,75,4,2,2024-11-13,2025-05-02,139213,170,23666210
60,847,43,82,4,2,2024-04-25,2024-06-17,41530,53,2201090
