RecrutementID,CandidatID,PosteID,ConsultantID,EtapeID,DateID,MotifID,Statut,DureeEtapeJours
1,337,148,49,5,2024-04-16,,Place,4
2,999,111,10,2,2025-01-07,,Perdu,6
3,10,15,33,2,2024-03-11,2,En cours,4
4,493,123,41,4,2024-09-19,,Place,6
5,609,151,45,3,2024-07-31,,Perdu,1
6,62,146,18,4,2024-02-11,,Perdu,7
7,452,106,35,6,2024-08-29,,En cours,8
8,596,68,25,4,2024-02-28,3,En cours,1
9,608,33,6,3,2024-08-03,,Place,1
10,120,3,12,6,2024-09-11,,En cours,2
11,278,72,38,3,2024-01-29,,En cours,6
12,245,127,35,4,2024-03-27,3,En cours,7
13,640,8,27,1,2024-04-28,,En cours,8
14,329,200,40,4,2025-01-06,1,En cours,8
15,572,118,35,3,2024-03-29,,Place,6
16,732,59,17,1,2025-01-03,,En cours,7
17,798,193,15,2,2024-08-01,1,Place,3
18,184,37,48,5,2025-01-14,,Perdu,7
19,904,192,49,2,2024-11-28,,Perdu,2
20,166,57,2,1,2024-04-27,,En cours,9
21,22,76,40,1,2024-08-11,1,En cours,1
22,45,86,7,1,2024-10-13,,Place,9
23,202,199,44,3,2024-02-01,,Perdu,5
24,874,51,30,3,2024-09-22,,En cours,6
25,208,195,35,4,2024-07-02,4,Place,2
26,694,70,36,4,2024-01-15,,Place,3
27,419,58,31,4,2024-12-12,,En cours,8
28,40,128,13,6,2024-04-16,,Perdu,1
29,445,139,41,2,2024-12-15,,Perdu,2
30,29,70,28,5,2024-03-23,,Place,6
31,477,27,28,1,2024-08-04,3,En cours,8
32,559,80,16,6,2024-05-28,,En cours,4
33,522,109,1,3,2024-12-23,,En cours,1
34,283,9,28,3,2025-01-16,,En cours,2
35,767,16,18,1,2024-11-04,,En cours,9
36,597,184,33,4,2024-12-04,,Perdu,2
37,255,8,19,3,2024-11-03,,Perdu,6
38,435,82,49,6,2024-04-27,,En cours,9
39,109,153,35,2,2025-01-03,4,Perdu,4
40,924,66,23,3,2024-07-31,,En cours,1
41,754,99,36,6,2024-05-17,,En cours,8
42,288,18,33,5,2024-03-17,5,Perdu,8
43,675,159,32,5,2024-10-10,,Place,6
44,680,127,29,4,2024-04-20,,En cours,9
45,610,171,47,6,2024-09-18,,Place,7
46,55,173,16,2,2024-01-27,5,Place,7
47,879,71,22,5,2024-09-10,,Perdu,4
48,956,9,13,4,2024-09-14,,Place,1
49,975,70,29,3,2024-07-28,,En cours,7
50,981,30,50,2,2024-09-19,,En cours,8
51,929,107,31,4,2025-02-01,,Place,7
52,740,30,11,1,2024-12-01,,En cours,6
53,57,185,47,5,2024-06-24,4,En cours,7
54,466,121,40,2,2024-12-14,1,En cours,3
55,246,51,23,3,2025-01-16,,En cours,2
56,220,185,8,2,2024-03-05,,En cours,6
57,831,154,21,3,2024-05-23,,En cours,9
58,813,88,41,3,2024-10-24,,Place,2
59,523,30,29,2,2024-07-24,,En cours,1
60,737,69,10,6,2024-02-23,,Place,7
